gX,gY,gZ,aX,aY,aZ
-44.189453,-5.615234,-11.108398,1.276611,-0.274414,-0.071289
-44.189453,-5.615234,-11.108398,1.276611,-0.274414,-0.071289
-57.373047,-2.685547,-16.113281,1.286011,-0.285278,-0.076538
-57.373047,-2.685547,-16.113281,1.286011,-0.285278,-0.076538
-64.697266,-0.183105,-20.202637,1.286865,-0.298584,-0.062134
-64.697266,-0.183105,-20.202637,1.286865,-0.298584,-0.062134
-64.697266,-0.183105,-20.202637,1.286865,-0.298584,-0.062134
-64.697266,1.708984,-23.010254,1.283936,-0.302734,-0.040405
-64.697266,1.708984,-23.010254,1.283936,-0.302734,-0.040405
-58.349609,2.807617,-24.597168,1.277588,-0.291138,-0.015137
-58.349609,2.807617,-24.597168,1.277588,-0.291138,-0.015137
-58.349609,2.807617,-24.597168,1.267700,-0.266357,0.010498
-48.278809,3.417969,-25.146484,1.267700,-0.266357,0.010498
-48.278809,3.417969,-25.146484,1.267700,-0.266357,0.010498
-36.743164,3.662109,-25.085449,1.255249,-0.234741,0.030762
-36.743164,3.662109,-25.085449,1.255249,-0.234741,0.030762
-25.634766,3.601074,-24.536133,1.243042,-0.197754,0.044434
-25.634766,3.601074,-24.536133,1.243042,-0.197754,0.044434
-25.634766,3.601074,-24.536133,1.243042,-0.197754,0.044434
-16.113281,3.540039,-23.803711,1.231934,-0.162598,0.052979
-16.113281,3.540039,-23.803711,1.231934,-0.162598,0.052979
-8.300781,3.540039,-23.010254,1.217163,-0.135742,0.057861
-8.300781,3.540039,-23.010254,1.217163,-0.135742,0.057861
-1.892090,3.662109,-22.216797,1.200073,-0.112305,0.059082
-1.892090,3.662109,-22.216797,1.200073,-0.112305,0.059082
-1.892090,3.662109,-22.216797,1.200073,-0.112305,0.059082
2.807617,3.967285,-21.423340,1.184448,-0.091064,0.057129
2.807617,3.967285,-21.423340,1.184448,-0.091064,0.057129
5.798340,4.394531,-20.751953,1.171875,-0.071655,0.057007
5.798340,4.394531,-20.751953,1.171875,-0.071655,0.057007
5.798340,4.394531,-20.751953,1.163818,-0.052002,0.053467
7.202148,5.004883,-20.080566,1.163818,-0.052002,0.053467
7.202148,5.004883,-20.080566,1.163818,-0.052002,0.053467
6.652832,5.981445,-19.531250,1.161987,-0.033813,0.042236
6.652832,5.981445,-19.531250,1.161987,-0.033813,0.042236
4.699707,7.263184,-19.104004,1.160522,-0.014282,0.035156
4.699707,7.263184,-19.104004,1.160522,-0.014282,0.035156
4.699707,7.263184,-19.104004,1.160522,-0.014282,0.035156
1.159668,8.666992,-18.676758,1.153442,0.000732,0.033813
1.159668,8.666992,-18.676758,1.153442,0.000732,0.033813
-3.723145,10.314941,-18.371582,1.143066,0.002075,0.028320
-3.723145,10.314941,-18.371582,1.143066,0.002075,0.028320
-9.216309,12.145996,-18.310547,1.131226,-0.004517,0.022461
-9.216309,12.145996,-18.310547,1.131226,-0.004517,0.022461
-9.216309,12.145996,-18.310547,1.131226,-0.004517,0.022461
-14.526367,14.160156,-18.371582,1.120117,-0.015381,0.016235
-14.526367,14.160156,-18.371582,1.120117,-0.015381,0.016235
-18.920898,16.296387,-18.554688,1.109863,-0.026123,0.003784
-18.920898,16.296387,-18.554688,1.109863,-0.026123,0.003784
-18.920898,16.296387,-18.554688,1.099731,-0.030273,-0.009155
-22.705078,18.737793,-18.676758,1.099731,-0.030273,-0.009155
-22.705078,18.737793,-18.676758,1.099731,-0.030273,-0.009155
-25.390625,21.240234,-18.676758,1.089478,-0.033447,-0.013550
-25.390625,21.240234,-18.676758,1.089478,-0.033447,-0.013550
-26.611328,23.742676,-18.493652,1.073120,-0.036621,-0.014771
-26.611328,23.742676,-18.493652,1.073120,-0.036621,-0.014771
-26.611328,23.742676,-18.493652,1.073120,-0.036621,-0.014771
-26.611328,26.184082,-18.188477,1.052612,-0.035767,-0.016724
-26.611328,26.184082,-18.188477,1.052612,-0.035767,-0.016724
-25.451660,28.747559,-17.639160,1.037109,-0.037964,-0.02160
81.604004,21.972656,-5.371094,0.970703,-0.364868,0.148193
91.918945,23.376465,-7.385254,0.951050,-0.368774,0.136841
91.918945,23.376465,-7.385254,0.951050,-0.368774,0.136841
99.792480,24.902344,-9.765625,0.935669,-0.359741,0.115601
99.792480,24.902344,-9.765625,0.935669,-0.359741,0.115601
99.792480,24.902344,-9.765625,0.926514,-0.337402,0.078735
104.125977,26.794434,-12.329102,0.926514,-0.337402,0.078735
104.125977,26.794434,-12.329102,0.926514,-0.337402,0.078735
103.942871,29.113770,-15.258789,0.920044,-0.307983,0.041260
103.942871,29.113770,-15.258789,0.920044,-0.307983,0.041260
98.022461,31.982422,-18.554688,0.917847,-0.273315,-0.000244
98.022461,31.982422,-18.554688,0.917847,-0.273315,-0.000244
98.022461,31.982422,-18.554688,0.917847,-0.273315,-0.000244
87.097168,35.400391,-22.033691,0.921387,-0.244873,-0.041870
87.097168,35.400391,-22.033691,0.921387,-0.244873,-0.041870
74.218750,39.123535,-25.390625,0.922363,-0.239868,-0.066895
74.218750,39.123535,-25.390625,0.922363,-0.239868,-0.066895
64.514160,42.724609,-28.137207,0.920776,-0.256836,-0.082397
64.514160,42.724609,-28.137207,0.920776,-0.256836,-0.082397
64.514160,42.724609,-28.137207,0.920776,-0.256836,-0.082397
60.852051,45.959473,-30.029297,0.917847,-0.282471,-0.093872
60.852051,45.959473,-30.029297,0.917847,-0.282471,-0.093872
63.232422,48.706055,-31.188965,0.911255,-0.303589,-0.094727
63.232422,48.706055,-31.188965,0.911255,-0.303589,-0.094727
63.232422,48.706055,-31.188965,0.906860,-0.312622,-0.092407
67.993164,50.903320,-32.165527,0.906860,-0.312622,-0.092407
67.993164,50.903320,-32.165527,0.906860,-0.312622,-0.092407
71.838379,52.856445,-33.447266,0.901489,-0.316406,-0.084961
71.838379,52.856445,-33.447266,0.901489,-0.316406,-0.084961
76.049805,54.382324,-34.790039,0.888062,-0.325928,-0.074585
76.049805,54.382324,-34.790039,0.888062,-0.325928,-0.074585
76.049805,54.382324,-34.790039,0.888062,-0.325928,-0.074585
83.740234,55.297852,-35.949707,0.872559,-0.339478,-0.071045
83.740234,55.297852,-35.949707,0.872559,-0.339478,-0.071045
95.703125,55.603027,-36.682129,0.858154,-0.346924,-0.068604
95.703125,55.603027,-36.682129,0.858154,-0.346924,-0.068604
109.008789,55.297852,-37.536621,0.843384,-0.342529,-0.059814
109.008789,55.297852,-37.536621,0.843384,-0.342529,-0.059814
109.008789,55.297852,-37.536621,0.843384,-0.342529,-0.059814
121.520996,54.443359,-38.513184,0.842773,-0.334961,-0.057983
121.520996,54.443359,-38.513184,0.842773,-0.334961,-0.057983
132.324219,53.283691,-39.672852,0.864624,-0.319458,-0.056519
132.324219,53.283691,-39.672852,0.864624,-0.319458,-0.056519
132.324219,53.283691,-39.672852,0.897827,-0.284790,-0.052612
137.817383,52.001953,-41.381836,0.897827,-0.284790,-0.052612
137.817383,52.001953,-41.381836,0.897827,-0.284790,-0.052612
137.084961,50.659180,-43.518066,0.930176,-0.248047,-0.051758
137.084961,50.659180,-43.518066,0.930176,-0.248047,-0.051758
131.958008,49.316406,-45.776367,0.955933,-0.222900,-0.043823
131.958008,49.316406,-45.776367,0.955933,-0.222900,-0.043823
131.958008,49.316406,-45.776367,0.955933,-0.222900,-0.043823
124.267578,47.729492,-48.034668,0.978394,-0.201904,-0.031738
124.267578,47.729492,-48.034668,0.978394,-0.201904,-0.031738
113.830566,46.142578,-50.170898,1.000366,-0.171875,-0.015381
113.830566,46.142578,-50.170898,1.000366,-0.171875,-0.015381
100.158691,44.738770,-52.185059,1.012817,-0.142456,-0.001587
100.158691,44.738770,-52.185059,1.012817,-0.142456,-0.001587
100.158691,44.738770,-52.185059,1.012817,-0.142456,-0.001587
87.768555,43.579102,-53.588867,1.006348,-0.115234,0.003906
87.768555,43.579102,-53.588867,1.006348,-0.115234,0.003906
76.904297,42.602539,-54.443359,0.986694,-0.107300,0.014038
76.904297,42.602539,-54.443359,0.986694,-0.107300,0.014038
76.904297,42.602539,-54.443359,0.961792,-0.139771,0.036011
68.725586,41.809082,-54.992676,0.961792,-0.139771,0.036011
68.725586,41.809082,-54.992676,0.961792,-0.139771,0.036011
67.932129,40.832520,-54.931641,0.946899,-0.193481,0.044312
67.932129,40.832520,-54.931641,0.946899,-0.193481,0.044312
78.857422,39.489746,-53.588867,0.944336,-0.252075,0.037354
78.857422,39.489746,-53.588867,0.944336,-0.252075,0.037354
78.857422,39.489746,-53.588867,0.944336,-0.252075,0.037354
98.754883,37.841797,-51.452637,0.939087,-0.275635,0.027344
98.754883,37.841797,-51.452637,0.939087,-0.275635,0.027344
114.257812,36.499023,-49.865723,0.932007,-0.227295,0.025879
114.257812,36.499023,-49.865723,0.932007,-0.227295,0.025879
113.891602,35.888672,-49.804688,0.926392,-0.132568,0.041382
113.891602,35.888672,-49.804688,0.926392,-0.132568,0.041382
113.891602,35.888672,-49.804688,0.926392,-0.132568,0.041382
97.229004,36.071777,-50.964355,0.918823,-0.036377,0.049805
97.229004,36.071777,-50.964355,0.918823,-0.036377,0.049805
72.021484,37.048340,-52.246094,0.905273,0.036743,0.052002
72.021484,37.048340,-52.246094,0.905273,0.036743,0.052002
72.021484,37.048340,-52.246094,0.883057,0.079468,0.056641
44.372559,38.818359,-52.856445,0.883057,0.079468,0.056641
44.372559,38.818359,-52.856445,0.883057,0.079468,0.056641
20.019531,40.710449,-52.490234,0.861206,0.080322,0.059448
20.019531,40.710449,-52.490234,0.861206,0.080322,0.059448
6.835938,42.297363,-50.415039,0.840332,0.035645,0.067871
6.835938,42.297363,-50.415039,0.840332,0.035645,0.067871
6.835938,42.297363,-50.415039,0.840332,0.035645,0.067871
11.352539,43.029785,-46.020508,0.826294,-0.018066,0.079346
11.352539,43.029785,-46.020508,0.826294,-0.018066,0.079346
27.282715,42.968750,-40.100098,0.828857,-0.030273,0.095337
27.282715,42.968750,-40.100098,0.828857,-0.030273,0.095337
40.039062,42.663574,-34.484863,0.841187,0.016724,0.125366
40.039062,42.663574,-34.484863,0.841187,0.016724,0.125366
40.039062,42.663574,-34.484863,0.841187,0.016724,0.125366
36.743164,42.785645,-30.639648,0.852905,0.092041,0.161133
36.743164,42.785645,-30.639648,0.852905,0.092041,0.161133
17.578125,43.518066,-28.442383,0.853271,0.146118,0.197510
17.578125,43.518066,-28.442383,0.853271,0.146118,0.197510
-8.666992,44.372559,-26.977539,0.850464,0.153564,0.220459
-8.666992,44.372559,-26.977539,0.850464,0.153564,0.220459
-8.666992,44.372559,-26.977539,0.850464,0.153564,0.220459
-32.165527,45.166016,-25.146484,0.854492,0.110596,0.228638
-32.165527,45.166016,-25.146484,0.854492,0.110596,0.228638
-43.457031,45.410156,-22.033691,0.860840,0.039429,0.238647
-43.457031,45.410156,-22.033691,0.860840,0.039429,0.238647
-43.457031,45.410156,-22.033691,0.860840,0.039429,0.238647
-41.259766,44.860840,-17.395020,0.875732,-0.014282,0.254761
-41.259766,44.860840,-17.395020,0.875732,-0.014282,0.254761
-34.667969,43.762207,-12.329102,0.892700,-0.034790,0.280029
-34.667969,43.762207,-12.329102,0.892700,-0.034790,0.280029
-30.517578,42.358398,-7.751465,0.898071,-0.033936,0.313599
-30.517578,42.358398,-7.751465,0.898071,-0.033936,0.313599
-30.517578,42.358398,-7.751465,0.898071,-0.033936,0.313599
-32.348633,40.954590,-4.089355,0.899414,-0.022461,0.342163
-32.348633,40.954590,-4.089355,0.899414,-0.022461,0.342163
-40.283203,39.550781,-1.281738,0.897949,-0.017456,0.359009
-40.283203,39.550781,-1.281738,0.897949,-0.017456,0.359009
-50.231934,38.146973,1.159668,0.889404,-0.033691,0.363281
-50.231934,38.146973,1.159668,0.889404,-0.033691,0.363281
-50.231934,38.146973,1.159668,0.889404,-0.033691,0.363281
-56.152344,36.804199,3.845215,0.873901,-0.069580,0.359131
-56.152344,36.804199,3.845215,0.873901,-0.069580,0.359131
-54.870605,35.400391,7.202148,0.852295,-0.111450,0.352539
-54.870605,35.400391,7.202148,0.852295,-0.111450,0.352539
-54.870605,35.400391,7.202148,0.852295,-0.111450,0.352539
-48.034668,33.752441,10.864258,0.822266,-0.136230,0.350220
-48.034668,33.752441,10.864258,0.822266,-0.136230,0.350220
-40.588379,32.165527,14.343262,0.778564,-0.144165,0.348511
-40.588379,32.165527,14.343262,0.778564,-0.144165,0.348511
-35.827637,30.761719,17.028809,0.721558,-0.156006,0.344482
-35.827637,30.761719,17.028809,0.721558,-0.156006,0.344482
-35.827637,30.761719,17.028809,0.721558,-0.156006,0.344482
-29.357910,29.296875,19.470215,0.656616,-0.180176,0.339233
-29.357910,29.296875,19.470215,0.656616,-0.180176,0.339233
-19.165039,27.893066,21.911621,0.604614,-0.206909,0.329346
-19.165039,27.893066,21.911621,0.604614,-0.206909,0.329346
-6.347656,26.611328,24.169922,0.590576,-0.221436,0.312256
-6.347656,26.611328,24.169922,0.590576,-0.221436,0.312256
-6.347656,26.611328,24.169922,0.590576,-0.221436,0.312256
7.263184,25.634766,26.306152,0.612305,-0.221069,0.285400
7.263184,25.634766,26.306152,0.612305,-0.221069,0.285400
19.653320,25.146484,28.198242,0.649292,-0.208374,0.267822
19.653320,25.146484,28.198242,0.649292,-0.208374,0.267822
19.653320,25.146484,28.198242,0.699219,-0.172485,0.254883
27.282715,25.085449,29.418945,0.699219,-0.172485,0.254883
27.282715,25.085449,29.418945,0.699219,-0.172485,0.254883
26.000977,25.756836,29.907227,0.754761,-0.110596,0.230591
26.000977,25.756836,29.907227,0.754761,-0.110596,0.230591
16.174316,26.977539,29.724121,0.784668,-0.058472,0.210327
16.174316,26.977539,29.724121,0.784668,-0.058472,0.210327
16.174316,26.977539,29.724121,0.784668,-0.058472,0.210327
2.929688,28.381348,29.479980,0.788208,-0.030029,0.193726
2.929688,28.381348,29.479980,0.788208,-0.030029,0.193726
-11.291504,29.785156,29.357910,0.796021,-0.012207,0.176025
-11.291504,29.785156,29.357910,0.796021,-0.012207,0.176025
-25.634766,31.127930,29.418945,0.820923,-0.009277,0.162964
-25.634766,31.127930,29.418945,0.820923,-0.009277,0.162964
-25.634766,31.127930,29.418945,0.820923,-0.009277,0.162964
-36.682129,32.165527,29.846191,0.861328,-0.029785,0.151001
-36.682129,32.165527,29.846191,0.861328,-0.029785,0.151001
-41.748047,32.897949,31.005859,0.919556,-0.073242,0.139038
-41.748047,32.897949,31.005859,0.919556,-0.073242,0.139038
-41.748047,32.897949,31.005859,0.988525,-0.124512,0.131714
-38.391113,33.081055,32.836914,0.988525,-0.124512,0.131714
-38.391113,33.081055,32.836914,0.988525,-0.124512,0.131714
-26.855469,32.836914,35.278320,1.057861,-0.168335,0.130615
-26.855469,32.836914,35.278320,1.057861,-0.168335,0.130615
-11.535645,32.226562,37.719727,1.121094,-0.198486,0.140381
-11.535645,32.226562,37.719727,1.121094,-0.198486,0.140381
